Symbol	Description
VIA	Vianini S.p.A
VIM	vimi fasteners S.p.a
VIV	Vivendi SA
VLS	Valsoia S.p.A
VOW3	Volkswagen AG
VTY	Vetrya S.p.A
WBD	Webuild SpA
WBDR	Webuild S.p.A. RNC
WEB	Websolute S.p.A
WIIT	Wiit SpA
WMC	WM Capital S.p.A
XPR	Exprivia
YIV	Imvest
YRM	Rosetti Marino SpA
YSFT	Softec
ZUC	Vincenzo Zucchi S.p.A
ZV	Zignago Vetro
